accession_number,filing_date,amendment_date,is_amendment,entity_name,jurisdiction_of_incorporation,year_of_incorporation,entity_type,issuer_street1,issuer_street2,issuer_city,issuer_state,issuer_zip,issuer_phone,naics_code,industry_group,total_offering_amount,total_amount_sold,total_remaining,has_non_accredited_investors,total_number_of_investors,minimum_investment,equity_type,debt_type,partnership_interest,securities_other_desc,business_combination,revenue_range,aggregate_net_asset_value_range,rule_506b,rule_506c,rule_504b,section_3c,section_3c1,section_3c7,primary_officer_name,primary_officer_title,related_person_names,broker_dealer_name,broker_dealer_crd,uses_intermediary,offering_sales_commissions,finders_fees,offering_date,termination_date,more_than_one_year
0001234567-13-000000,2013-08-24,,True,Hadestown Broadway LLC,NV,2013,Corporation,868 Broadway,,New York,CA,10413,212-555-3051,711110,Theatrical Production,20222008.19,17756139.08,2465869.11,True,27,500000,False,False,False,,False,$5-25M,,True,False,False,False,False,False,John Doe 0,Managing Member,"John Doe 0, Jane Smith 0",,912311,False,887806.95,355122.78,2013-07-06,,False
0001234567-20-000001,2020-08-25,,False,The Kite Runner Theatrical LP,DE,2018,Limited Partnership,889 Broadway,,New York,MA,10532,212-555-5500,711110,Theatrical Production,2894421.79,2808321.18,86100.61,False,388,50000,False,False,False,,False,$1-5M,,True,False,False,False,False,False,John Doe 1,Managing Member,"John Doe 1, Jane Smith 1",Broadway Capital Partners,622432,False,,,2020-07-17,,True
0001234567-19-000002,2019-08-29,,False,POTUS Broadway Productions,CA,2019,Corporation,107 Broadway,Suite 881,New York,PA,10720,212-555-9242,711110,Theatrical Production,18263089.78,7457439.31,10805650.47,True,143,500000,True,False,True,,False,$5-25M,,True,False,True,False,False,False,John Doe 2,Managing Member,"John Doe 2, Jane Smith 2",Broadway Capital Partners,364905,False,,,2019-05-11,,True
0001234567-16-000003,2016-11-19,,False,MJ the Musical Productions,CT,2015,Corporation,32 Broadway,,New York,CT,10888,212-555-6791,711110,Theatrical Production,72558184.39,29170442.12,43387742.27,True,58,100000,False,True,False,,False,Over $100M,,True,False,False,False,False,False,John Doe 3,Managing Member,"John Doe 3, Jane Smith 3",Broadway Capital Partners,,False,,,2016-10-03,,False
0001234567-10-000004,2010-02-13,,False,Music Man Productions LLC,IL,2009,Corporation,234 Broadway,Suite 704,New York,CT,10901,212-555-2718,711110,Theatrical Production,54730821.85,50166915.21,4563906.64,False,34,1000000,True,False,True,,False,$5-25M,,True,False,False,False,False,False,John Doe 4,Managing Member,"John Doe 4, Jane Smith 4",,415136,False,2508345.76,,2009-12-04,,True
0001234567-22-000005,2022-07-21,,False,Phantom of the Opera LLC,CT,2022,Limited Partnership,51 Broadway,Suite 222,New York,NY,10757,212-555-8901,711110,Theatrical Production,5878666.59,5272813.55,605853.04,False,156,100000,False,False,True,,False,$25-100M,,True,True,False,False,False,False,John Doe 5,Managing Member,"John Doe 5, Jane Smith 5",Broadway Capital Partners,,False,,,2022-05-24,,True
0001234567-14-000006,2014-01-31,,False,Six the Musical LLC,CA,2012,Limited Liability Company,463 Broadway,,New York,IL,10575,212-555-1784,711110,Theatrical Production,2154223.87,1111988.59,1042235.28,False,32,500000,False,True,False,,False,$5-25M,,True,False,False,False,False,False,John Doe 6,Managing Member,"John Doe 6, Jane Smith 6",,,False,,,2013-09-10,,True
0001234567-17-000007,2017-07-24,,True,Aladdin Theatrical Productions,NJ,2016,Limited Liability Company,184 Broadway,,New York,IL,10509,212-555-1263,711110,Theatrical Production,17258585.05,7546543.84,9712041.21,False,77,250000,False,True,True,,False,Over $100M,,False,False,False,False,False,False,John Doe 7,Managing Member,"John Doe 7, Jane Smith 7",Broadway Capital Partners,,False,,,2017-02-24,,False
0001234567-24-000008,2024-04-04,,False,Les Misérables Broadway Productions,CT,2021,Limited Liability Company,631 Broadway,Suite 443,New York,TX,10813,212-555-8310,711110,Theatrical Production,5672043.45,2415350.5,3256692.95,False,352,250000,True,False,False,,False,$5-25M,,True,True,False,False,False,False,John Doe 8,Managing Member,"John Doe 8, Jane Smith 8",,,True,120767.53,,2023-11-22,,True
0001234567-10-000009,2010-07-26,,True,Hamilton Productions LLC,NV,2008,Corporation,243 Broadway,Suite 1886,New York,CT,10018,212-555-5783,711110,Theatrical Production,9472699.67,5731038.05,3741661.62,False,61,500000,True,False,False,,False,$25-100M,,True,False,False,False,False,False,John Doe 9,Managing Member,"John Doe 9, Jane Smith 9",,,False,,,2010-05-18,,False
0001234567-21-000010,2021-10-16,,False,Harry Potter and the Cursed Child LLC,NJ,2018,Limited Partnership,389 Broadway,,New York,NJ,10299,212-555-2254,711110,Theatrical Production,1467301.16,973497.69,493803.47,False,54,100000,True,True,False,,False,$25-100M,,True,False,False,False,False,False,John Doe 10,Managing Member,"John Doe 10, Jane Smith 10",Broadway Capital Partners,,False,48674.88,,2021-05-08,,True
0001234567-13-000011,2013-04-16,,False,Jersey Boys Productions,IL,2010,Corporation,553 Broadway,Suite 361,New York,CT,10975,212-555-8205,711110,Theatrical Production,3382766.59,2941515.31,441251.28,False,16,250000,True,True,False,,False,$5-25M,,False,False,False,False,False,False,John Doe 11,Managing Member,"John Doe 11, Jane Smith 11",,,False,147075.77,,2013-02-06,,False
0001234567-10-000012,2010-03-15,,True,Company Broadway Productions,DE,2010,Corporation,577 Broadway,,New York,NJ,10435,212-555-1460,711110,Theatrical Production,2032924.78,1887183.55,145741.23,True,63,250000,False,True,False,,False,$25-100M,,True,False,False,False,False,False,John Doe 12,Managing Member,"John Doe 12, Jane Smith 12",,,False,94359.18,,2010-01-13,,False
0001234567-11-000013,2011-04-16,,False,Hadestown Broadway LLC,CT,2009,Corporation,842 Broadway,,New York,IL,10373,212-555-8893,711110,Theatrical Production,6867620.66,6253594.5,614026.16,False,53,1000000,False,False,False,,False,Over $100M,,True,False,False,False,False,False,John Doe 13,Managing Member,"John Doe 13, Jane Smith 13",,,False,312679.73,,2011-01-13,,True
0001234567-22-000014,2022-08-02,,False,Ohio State Murders LLC,CT,2019,Corporation,484 Broadway,,New York,CT,10649,212-555-7184,711110,Theatrical Production,7105257.01,5835238.09,1270018.92,False,461,50000,False,False,False,,False,$1-5M,,True,False,False,False,False,False,John Doe 14,Managing Member,"John Doe 14, Jane Smith 14",,271745,False,,,2022-04-17,,False
