critic_id,name,primary_publication,total_reviews,up_count,meh_count,down_count,first_review,last_review
2363,Ben Brantley,NEW YORK TIMES,996,541,306,149,1996-11-15,2020-03-05
2434,Charles Isherwood,NEW YORK TIMES,694,322,240,132,2004-11-16,2017-01-29
8,Adam Feldman,TIME OUT NEW YORK,263,153,77,33,2010-03-04,2026-04-29
249,David Rooney,HOLLYWOOD REPORTER,235,145,58,32,2010-11-22,2026-04-15
4,Greg Evans,DEADLINE,214,138,60,16,2018-03-22,2026-04-26
11,Matt Windman,AM NEW YORK,200,94,54,52,2011-02-28,2026-04-26
793,Jesse Green,NEW YORK TIMES,194,89,61,44,2017-05-10,2025-06-12
2230,Marilyn Stasio,VARIETY,181,98,59,24,2008-02-25,2022-11-21
2382,Joe Dziemianowicz,New York Daily News,159,78,54,27,2008-11-14,2018-04-11
9,Robert Hofler,THE WRAP,137,50,39,48,2014-03-24,2026-04-26
117,Zachary Stewart,THEATERMANIA,137,84,37,16,2013-11-07,2026-04-23
3022,Elisabeth Vincentelli,NEW YORK POST,135,51,52,32,2009-04-16,2015-11-06
52,Chris Jones,New York Daily News,126,85,27,14,2019-04-21,2026-04-26
687,Alexis Soloski,NEW YORK TIMES,126,31,72,23,2014-03-25,2025-11-13
10,Johnny Oleksinski,NEW YORK POST,120,49,36,35,2019-10-17,2026-04-26
115,Laura Collins-Hughes,NEW YORK TIMES,120,48,55,17,2013-11-14,2026-04-22
2385,David Cote,TIME OUT NEW YORK,120,75,27,18,2010-03-11,2017-04-23
670,Mark Kennedy,Associated Press,113,76,21,16,2011-02-01,2025-11-09
808,Brittani Samuel,BROADWAY NEWS,108,64,25,19,2022-04-11,2025-04-28
2407,,VARIETY,107,54,30,23,1996-04-29,2014-04-22
598,Tim Teeman,THE DAILY BEAST,100,56,25,19,2017-02-23,2026-01-08
116,Juan A. Ramirez,THEATRELY,89,49,28,12,2021-08-25,2026-04-22
5387,,Associated Press,82,58,13,11,2008-11-24,2014-04-22
216,David Gordon,THEATERMANIA,79,43,24,12,2014-02-02,2026-04-16
3017,David Sheward,Backstage,77,41,20,16,2009-10-07,2012-07-12
3837,,Usa Today,76,44,18,14,2003-07-31,2014-04-22
3085,Erik Haagensen,Backstage,74,32,15,27,2009-09-15,2013-04-18
2421,Robert Kahn,Nbc New York,72,50,19,3,2013-06-24,2017-04-23
2437,Matthew Murray,Talkin' Broadway,71,24,33,14,2002-07-01,2014-11-23
2383,Jesse Green,VULTURE,67,24,23,20,2013-04-18,2017-02-23
3019,Andy Propst,THEATERMANIA,67,33,23,11,2009-04-07,2012-10-24
58,Jonathan Mandell,New York Theater,66,31,25,10,2014-01-30,2026-05-03
3092,,NEW YORK TIMES,64,34,7,23,1996-04-29,2017-11-16
5,Frank Rizzo,VARIETY,61,40,14,7,2010-06-03,2026-04-26
6,Sara Holdren,VULTURE,61,30,22,9,2017-12-12,2026-04-26
2482,Frank Scheck,HOLLYWOOD REPORTER,58,26,13,19,2009-11-22,2022-04-29
2432,Linda Winer,Newsday,57,35,10,12,2010-03-02,2017-04-27
63,Jackson McHenry,VULTURE,56,14,29,13,2022-11-03,2026-04-21
124,Joe Dziemianowicz,New York Theatre Guide,56,30,26,0,2022-04-24,2026-04-22
3028,Anita Gates,NEW YORK TIMES,56,34,18,4,2008-06-06,2017-02-07
3031,Dan Bacalzo,THEATERMANIA,54,30,13,11,2009-09-16,2012-08-09
3,Pete Hempstead,THEATERMANIA,49,37,7,5,2013-11-24,2026-04-26
76,Charles Isherwood,Wall Street Journal,49,30,15,4,2022-04-21,2026-04-23
79,Jason Zinoman,NEW YORK TIMES,49,23,11,15,2005-07-01,2026-04-19
2384,Jeremy Gerard,DEADLINE,49,26,13,10,2015-08-06,2018-01-11
4091,Ken Jaworowski,NEW YORK TIMES,49,21,19,9,2010-07-15,2015-07-13
3052,Thom Geier,Entertainment Weekly,48,33,12,3,2010-04-18,2014-11-17
286,Chris Jones,CHICAGO TRIBUNE,47,27,11,9,2011-12-14,2026-04-15
2408,,HOLLYWOOD REPORTER,46,23,13,10,2009-04-02,2014-04-22
4355,Andy Webster,NEW YORK TIMES,46,33,11,2,2008-04-28,2015-10-16
3034,Neil Genzlinger,NEW YORK TIMES,44,19,19,6,2010-05-25,2015-08-03
3501,Joe Dziemianowicz,Ny Daily News,44,19,16,9,2008-08-18,2018-03-26
3839,,New York Daily News,43,28,6,9,2005-03-17,2016-10-06
201,Hayley Levitt,THEATERMANIA,42,24,14,4,2013-11-19,2026-04-20
3016,Frank Scheck,NEW YORK POST,42,19,9,14,2007-10-25,2015-03-15
3067,Jennifer Farrar,Associated Press,41,38,3,0,2010-02-16,2015-11-12
2405,,AM NEW YORK,40,16,7,17,2008-12-07,2014-04-22
55,Frank Scheck,New York Stage Review,38,20,16,2,2021-08-22,2026-04-26
6656,David Finkle,THEATERMANIA,38,26,7,5,2008-02-26,2012-07-08
7154,,Newsday,38,18,11,9,2003-07-31,2014-04-22
3035,Elisabeth Vincentelli,Ny Post,35,13,12,10,2010-04-23,2016-06-24
3840,,THEATERMANIA,35,22,9,4,1996-04-29,2014-04-22
3083,Melissa Rose Bernardo,Entertainment Weekly,34,20,10,4,2009-10-09,2017-04-25
2466,Elysa Gardner,Usa Today,33,22,7,4,2003-10-30,2014-08-09
5920,Eric Grode,NEW YORK TIMES,33,10,15,8,2010-11-25,2014-03-25
5732,Frank Scheck,Ny Post,32,20,4,8,2009-12-02,2014-06-04
7067,,Backstage,32,20,2,10,2009-03-16,2014-04-22
62,Joey Sims,THEATRELY,30,14,16,0,2022-02-01,2026-04-25
3032,Elyse Sommer,Curtain Up,30,14,13,3,2008-10-28,2014-03-28
3018,Steven Suskin,VARIETY,29,19,5,5,2007-10-24,2012-09-10
5643,David Rooney,NEW YORK TIMES,28,14,8,6,2010-11-02,2014-07-13
173,Gillian Russo,New York Theatre Guide,26,21,4,1,2022-10-02,2026-04-12
218,Emlyn Travis,Entertainment Weekly,26,20,6,0,2023-03-16,2026-04-16
2356,Helen Shaw,VULTURE,26,9,10,7,2019-12-12,2022-04-27
3040,David Barbour,Lighting And Sound America,26,13,7,6,2010-04-20,2015-01-07
73,Melissa Rose Bernardo,New York Stage Review,25,19,4,2,2021-11-23,2026-04-25
129,David Finkle,New York Stage Review,25,14,8,3,2021-12-05,2026-04-22
203,Naveen Kumar,VARIETY,25,15,5,5,2021-10-11,2026-04-20
2984,Roma Torre,Ny1,25,16,9,0,2010-04-15,2018-11-11
3066,Rachel Saltz,NEW YORK TIMES,25,4,15,6,2008-08-18,2014-09-30
3078,Helen Shaw,TIME OUT NEW YORK,25,8,14,3,2010-07-21,2019-03-31
6199,Catherine Rampell,NEW YORK TIMES,25,9,10,6,2011-06-01,2014-02-05
3050,Michael Sommers,New Jersey Newsroom,24,10,9,5,2010-11-03,2014-06-26
3060,Brian Scott Lipton,THEATERMANIA,23,11,9,3,2007-10-25,2013-06-07
4452,Claudia La Rocco,NEW YORK TIMES,23,8,9,6,2010-12-15,2015-08-06
4351,Michael Dale,Broadway World,22,15,5,2,2011-07-15,2014-09-28
90,Michael Sommers,New York Stage Review,21,11,8,2,2024-06-05,2026-04-23
2313,,Wall Street Journal,21,7,8,6,2009-10-28,2022-10-03
3191,Terry Teachout,Wall Street Journal,21,7,7,7,2011-03-17,2018-11-15
47,Dalton Ross,Entertainment Weekly,20,13,6,1,2022-11-03,2026-04-26
165,Elisabeth Vincentelli,NEW YORK TIMES,20,9,7,4,2016-09-20,2026-04-20
189,Patrick Ryan,Usa Today,20,9,7,4,2024-07-11,2026-04-07
2446,Charles Isherwood,BROADWAY NEWS,20,14,1,5,2018-12-11,2022-02-10
4750,Jason Clark,Entertainment Weekly,20,7,9,4,2013-11-05,2015-01-08
174,Shania Russell,Entertainment Weekly,19,14,5,0,2024-03-21,2026-04-12
178,Adrian Horton,The Guardian,19,8,9,2,2024-07-11,2026-04-15
2317,,Entertainment Weekly,19,8,6,5,2009-12-06,2022-10-03
5010,Dmitry Zvonkov,Stage And Cinema,19,6,7,6,2012-05-24,2014-11-21
6664,CHRIS KOMPANEK,THEATERMANIA,19,8,8,3,2010-10-18,2012-07-17
7411,Scott Brown,NEW YORK MAGAZINE,19,9,3,7,2010-10-01,2012-01-19
7939,Bruce Weber,NEW YORK TIMES,19,4,8,7,2001-03-12,2003-12-04
60,Charles McNulty,La Times,18,9,7,2,2011-03-06,2026-05-01
154,Aramide Tinubu,VARIETY,18,14,3,1,2023-09-27,2026-04-25
159,Raven Snook,TIME OUT NEW YORK,18,10,4,4,2010-05-18,2026-04-25
601,Naveen Kumar,WASHINGTON POST,18,11,3,4,2024-09-29,2026-01-08
783,David Cote,Observer,18,10,4,4,2021-09-01,2025-09-16
1937,Peter Marks,WASHINGTON POST,18,13,4,1,2011-05-22,2023-06-26
56,Roma Torre,New York Stage Review,17,13,3,1,2024-04-26,2026-04-26
133,Kobi Kassal,THEATRELY,17,16,1,0,2021-12-05,2026-04-23
943,Sandy MacDonald,THEATERMANIA,17,9,4,4,2010-02-23,2025-04-08
3043,Daniel M. Gold,NEW YORK TIMES,17,4,7,6,2010-07-30,2015-08-07
2187,Juan Michael Porter II,DID THEY LIKE IT,16,8,2,6,2021-10-14,2022-12-08
7195,Jonathan Mandell,The Faster Times,16,7,5,4,2009-12-17,2012-04-23
87,Allison Considine,New York Theatre Guide,15,12,2,1,2023-04-12,2026-04-19
264,Daniel D’Addario,VARIETY,15,7,7,1,2022-03-28,2026-03-23
2174,Ran Xia,DID THEY LIKE IT,15,8,5,2,2021-10-17,2022-12-20
6661,Suzy Evans,Backstage,15,6,7,2,2011-08-11,2012-11-15
641,Christian Lewis,VARIETY,14,8,3,3,2022-04-29,2025-11-16
752,Elysa Gardner,New York Sun,14,10,2,2,2024-04-20,2025-08-18
1332,Howard Miller,Talkin' Broadway,14,9,4,1,2014-02-25,2024-10-20
80,Kenji Fujishima,THEATERMANIA,13,7,4,2,2022-04-14,2026-04-19
130,Bob Verini,New York Stage Review,13,6,4,3,2024-11-17,2026-04-23
2406,,CHICAGO TRIBUNE,13,6,4,3,2010-04-27,2012-12-09
3047,Simon Saltzman,Curtain Up,13,10,3,0,2010-05-24,2014-09-26
3716,David Finkle,Huffington Post,13,6,3,4,2012-04-17,2015-11-14
616,Amelia Merrill,New York Theatre Guide,12,4,6,2,2023-03-24,2025-10-28
3090,David Rooney,VARIETY,12,5,4,3,2008-06-17,2010-05-07
53,Caroline Cao,New York Theatre Guide,11,6,5,0,2024-04-25,2026-04-26
144,Austin Fimmano,New York Theatre Guide,11,9,2,0,2024-07-11,2026-04-25
1615,Maya Phillips,NEW YORK TIMES,11,4,4,3,2021-10-07,2024-04-17
1838,Naveen Kumar,BROADWAY NEWS,11,4,2,5,2022-03-28,2023-10-12
2147,Bedatri D.Choudhury,DID THEY LIKE IT,11,7,1,3,2021-10-07,2022-12-19
5866,,NEW YORK POST,11,8,2,1,2006-11-16,2014-04-22
9331,Time Out New York,TIME OUT NEW YORK,11,9,1,1,2007-10-11,2010-12-31
1,Helen Shaw,NEW YORK TIMES,10,7,2,1,2026-03-12,2026-04-26
196,Kyle Turner,New York Theatre Guide,10,5,5,0,2024-03-14,2026-04-07
322,Steven Suskin,New York Stage Review,10,6,4,0,2021-11-23,2026-03-12
2184,Leah Greenblatt,Entertainment Weekly,10,6,4,0,2017-02-09,2022-12-20
2273,Christian Lewis,DID THEY LIKE IT,10,6,3,1,2021-10-11,2022-11-10
3026,,Access Atlanta,10,10,0,0,2011-06-28,2013-12-13
3069,Diane Snyder,TIME OUT NEW YORK,10,5,4,1,2012-03-02,2014-07-01
3390,Jesse Green,Ny Times,10,5,4,1,2017-05-04,2018-08-13
4024,Laurel Graeber,NEW YORK TIMES,10,10,0,0,2010-10-19,2015-07-12
4019,Andy Propst,American Theater Web,9,5,3,1,2013-11-25,2014-09-19
4732,Joel Benjamin,Theater Pizzazz,9,6,3,0,2014-01-14,2014-11-24
5170,Elizabeth Ahlfors,Curtain Up,9,5,2,2,2010-05-21,2014-10-14
5390,Robert Feldberg,Northjersey.com,9,6,2,1,2011-05-26,2014-03-04
8593,Sam Thielman,VARIETY,9,4,2,3,2010-03-08,2010-09-27
71,Jesse Hassenger,The Guardian,8,3,5,0,2024-12-12,2026-04-21
824,Elizabeth Vincentelli,NEW YORK TIMES,8,4,3,1,2022-02-01,2025-08-15
2213,Thom Geier,THE WRAP,8,5,3,0,2019-09-24,2022-12-04
2312,Chris Jones,Ny Daily News,8,3,3,2,2019-04-24,2022-10-03
