publication_id,name,total_reviews,up_count,meh_count,down_count,opening_window_reviews,first_review,last_review
1,NEW YORK TIMES,2693,1294,918,481,1726,1996-04-29,2026-04-26
3,THEATERMANIA,623,368,170,85,455,1996-04-29,2026-04-26
5,VARIETY,524,297,147,80,402,1988-01-26,2026-04-26
8,TIME OUT NEW YORK,469,271,133,65,380,2007-10-11,2026-04-29
249,HOLLYWOOD REPORTER,349,200,86,63,324,2009-04-02,2026-04-15
47,Entertainment Weekly,332,203,103,26,281,1997-12-05,2026-04-26
52,New York Daily News,332,192,88,52,253,2003-10-31,2026-04-26
10,NEW YORK POST,317,133,100,84,243,2006-11-16,2026-04-26
3017,Backstage,267,135,66,66,189,2009-03-16,2014-04-22
4,DEADLINE,263,164,73,26,258,2015-08-06,2026-04-26
670,Associated Press,260,191,39,30,199,2008-11-24,2025-11-09
11,AM NEW YORK,244,113,62,69,211,2008-12-07,2026-04-26
6,VULTURE,218,83,86,49,205,2013-03-21,2026-04-26
53,New York Theatre Guide,161,97,58,6,147,2010-04-07,2026-04-26
55,New York Stage Review,160,94,50,16,159,2021-08-22,2026-04-26
9,THE WRAP,148,56,43,49,141,2014-03-24,2026-04-26
808,BROADWAY NEWS,146,87,30,29,139,2018-12-11,2025-04-28
2,THEATRELY,144,85,47,12,139,2021-08-25,2026-04-26
189,Usa Today,131,77,32,22,80,2003-07-31,2026-04-07
2432,Newsday,108,59,26,23,80,2003-07-31,2018-11-11
598,THE DAILY BEAST,102,58,25,19,98,2015-04-09,2026-01-08
1332,Talkin' Broadway,97,40,41,16,59,2002-07-01,2024-10-20
76,Wall Street Journal,94,46,30,18,84,2009-10-28,2026-04-23
2421,Nbc New York,82,58,21,3,81,2013-06-24,2017-04-24
3032,Curtain Up,80,39,31,10,44,2008-10-28,2014-10-24
255,Ny Post,71,34,17,20,42,2009-12-02,2026-04-09
58,New York Theater,66,31,25,10,62,2014-01-30,2026-05-03
286,CHICAGO TRIBUNE,60,33,15,12,57,2010-04-27,2026-04-15
2147,DID THEY LIKE IT,59,33,13,13,54,2021-10-03,2022-12-20
2312,Ny Daily News,59,25,20,14,50,2007-03-22,2022-10-03
71,The Guardian,53,23,27,3,46,2010-03-10,2026-04-25
3021,Theatre Is Easy,53,39,13,1,19,2010-03-18,2014-12-14
3076,Huffington Post,52,33,11,8,41,2011-11-02,2017-12-12
17,WASHINGTON POST,48,33,8,7,39,2011-03-24,2026-05-06
3042,Theater Pizzazz,42,24,14,4,13,2014-01-14,2014-11-24
3381,Broadway World,39,28,9,2,22,2010-01-26,2017-02-01
2984,Ny1,35,23,9,3,23,2010-02-09,2018-11-11
2366,NEW YORK MAGAZINE,31,15,7,9,24,1997-11-15,2021-10-14
4026,Ny Theatre,31,22,7,2,17,2010-09-15,2012-06-23
3050,New Jersey Newsroom,30,13,10,7,25,2010-08-17,2014-06-26
4733,Stage And Cinema,30,11,13,6,12,2008-03-04,2014-11-21
3026,Access Atlanta,29,22,5,2,11,2011-01-31,2017-12-11
4941,Village Voice,28,18,6,4,6,2008-06-24,2014-12-03
3040,Lighting And Sound America,26,13,7,6,6,2010-04-20,2015-01-07
60,La Times,24,11,10,3,16,2010-04-23,2026-05-01
783,Observer,20,12,4,4,18,2021-09-01,2025-09-16
3020,Stage Buddy,20,18,1,1,4,2014-02-11,2014-11-21
3390,Ny Times,19,13,5,1,15,2016-10-13,2018-08-13
3080,New York Theatre Review,18,15,3,0,4,2012-10-24,2014-10-30
7195,The Faster Times,18,8,6,4,15,2009-12-17,2012-04-23
3068,Show Business Weekly,17,14,2,1,3,2010-09-17,2014-05-11
3418,Bloomberg,17,7,7,3,16,2010-04-09,2013-10-06
752,New York Sun,16,12,2,2,16,2024-04-20,2025-08-18
75,NEW YORKER,14,9,2,3,5,2003-11-10,2026-04-24
6861,The Huffington Post,12,9,3,0,8,2008-08-08,2012-04-28
1090,Telegraph,10,6,3,1,5,2010-03-09,2025-04-04
1132,Financial Times,10,7,1,2,8,2013-03-20,2025-03-17
2979,New York Observer,10,8,1,1,9,2013-07-23,2019-12-05
3054,Examiner,10,8,2,0,5,2011-01-15,2014-07-28
5192,Northjersey.com,10,7,2,1,9,2011-05-26,2014-10-07
4019,American Theater Web,9,5,3,1,5,2013-11-25,2014-09-19
3062,Best Of Off-broadway,7,5,1,1,4,2008-09-07,2011-02-03
5234,Blog Critics,6,6,0,0,3,2012-01-10,2014-09-15
5515,The Independent,6,5,1,0,3,2013-11-10,2014-07-23
8662,Afterelton,6,4,2,0,1,2008-08-27,2010-12-07
4961,Broadway Space,5,3,1,1,2,2008-10-05,2014-04-22
5270,Exetunt,5,3,2,0,1,2014-01-07,2014-09-30
5859,Ny Theater Now,5,4,1,0,1,2013-11-24,2014-05-31
6377,New York Times Original,5,3,1,1,2,2009-05-16,2013-05-10
54,People Magazine,4,1,2,1,4,2026-04-12,2026-04-26
4394,Dc Theatre Scene,4,4,0,0,1,2014-01-27,2015-09-27
5422,The Boston Globe,4,3,1,0,3,2011-03-03,2014-08-14
5554,Time Out Uk,4,4,0,0,0,2014-01-24,2014-07-09
5982,The Epoch Times,4,2,2,0,2,2012-10-24,2014-04-02
9500,Music Omh,4,2,2,0,1,2008-08-08,2010-03-06
3342,Nj.com,3,1,0,2,3,2014-10-07,2017-10-12
4991,Theater In The Now,3,3,0,0,2,2014-03-31,2014-11-18
5502,The Public Reviews,3,1,1,1,1,2014-03-24,2014-07-24
5575,Chicago Sun-times,3,2,0,1,0,2014-01-27,2014-07-13
