tony_id,show_title,opening_date,ceremony_year,category,nominated,won
1541,Brigadoon (Chicago),2014-06-27,1947,Best Choreography,1,1
1542,Finian's Rainbow,,1947,Best Choreography,1,1
1291,Street Scene,,1947,Best Original Score,1,1
1543,High,2011-04-19,1948,Best Choreography,1,1
333,Mister Roberts,,1948,Best Play,1,1
1061,"Kiss Me, Kate",2019-03-14,1949,Best Book of a Musical,1,1
1544,Lend an Ear,,1949,Best Choreography,1,1
51,"Kiss Me, Kate",2019-03-14,1949,Best Musical,1,1
1292,"Kiss Me, Kate",2019-03-14,1949,Best Original Score,1,1
334,Death of a Salesman †,,1949,Best Play,1,1
1062,South Pacific,2008-04-03,1950,Best Book of a Musical,1,1
1545,Touch and Go,,1950,Best Choreography,1,1
1828,South Pacific,2008-04-03,1950,Best Direction of a Musical,1,1
52,South Pacific,2008-04-03,1950,Best Musical,1,1
1293,South Pacific,2008-04-03,1950,Best Original Score,1,1
335,The Cocktail Party,,1950,Best Play,1,1
1546,guys and dolls,1970-01-01,1951,Best Choreography,1,1
1829,guys and dolls,1970-01-01,1951,Best Direction of a Musical,1,1
53,guys and dolls,1970-01-01,1951,Best Musical,1,1
1294,Call Me Madam,,1951,Best Original Score,1,1
336,The Rose Tattoo,,1951,Best Play,1,1
1547,pal joey,1970-01-01,1952,Best Choreography,1,1
54,The King and I Book &,,1952,Best Musical,1,1
337,The Fourposter,,1952,Best Play,1,1
1548,Wonderful Town,2003-11-23,1953,Best Choreography,1,1
55,Wonderful Town,2003-11-23,1953,Best Musical,1,1
338,The Crucible,,1953,Best Play,1,1
1549,Can-Can,,1954,Best Choreography,1,1
56,Kismet,,1954,Best Musical,1,1
339,The Teahouse of the August Moon †,,1954,Best Play,1,1
1550,The Pajama Game,2006-02-23,1955,Best Choreography,1,1
57,The Pajama Game,2006-02-23,1955,Best Musical,1,1
340,The Desperate Hours,,1955,Best Play,1,1
1551,Damn Yankees,2010-07-08,1956,Best Choreography,1,1
1552,Phoenix,2014-08-07,1956,Best Choreography,1,0
1553,Red Roses for Me,,1956,Best Choreography,1,0
1554,The Vamp,,1956,Best Choreography,1,0
58,Damn Yankees,2010-07-08,1956,Best Musical,1,1
59,Pipe Dream,2012-03-28,1956,Best Musical,1,0
341,The Diary of Anne Frank †,,1956,Best Play,1,1
342,Bus Stop,,1956,Best Play,1,0
343,Cat on a Hot Tin Roof †,,1956,Best Play,1,0
344,The Chalk Garden,,1956,Best Play,1,0
345,Tiger at the Gates,,1956,Best Play,1,0
1555,Li'l Abner,,1957,Best Choreography,1,1
1556,Bells Are Ringing,2001-04-12,1957,Best Choreography,1,0
1557,The Most Happy Fella,2014-04-02,1957,Best Choreography,1,0
1558,My Fair Lady,,1957,Best Choreography,1,0
60,My Fair Lady Book &,,1957,Best Musical,1,1
61,Bells Are Ringing,2001-04-12,1957,Best Musical,1,0
62,Candida,2010-03-08,1957,Best Musical,1,0
63,The Most Happy Fella,2014-04-02,1957,Best Musical,1,0
346,Long Day's Journey into Night †,,1957,Best Play,1,1
347,The Potting Shed,,1957,Best Play,1,0
348,Separate Tables,,1957,Best Play,1,0
349,The Waltz of the Toreadors,,1957,Best Play,1,0
1559,West Side Story,,1958,Best Choreography,1,1
1560,The Music Man,2022-02-10,1958,Best Choreography,1,0
1561,New Girl In Town,2012-07-26,1958,Best Choreography,1,0
1830,My Fair Lady,,1958,Best Direction of a Musical,1,1
64,The Music Man,2022-02-10,1958,Best Musical,1,1
65,Jamaica,,1958,Best Musical,1,0
66,New Girl In Town,2012-07-26,1958,Best Musical,1,0
67,"Oh, Captain!",,1958,Best Musical,1,0
68,West Side Story,,1958,Best Musical,1,0
350,Sunrise at Campobello,,1958,Best Play,1,1
351,The Dark at the Top of the Stairs,,1958,Best Play,1,0
352,Look Back in Anger,2012-02-02,1958,Best Play,1,0
353,"Look Homeward, Angel †",,1958,Best Play,1,0
354,& Juliet,2022-11-17,1958,Best Play,1,0
355,The Rope Dancers,,1958,Best Play,1,0
356,Time Remembered,,1958,Best Play,1,0
357,Two for the Seesaw,,1958,Best Play,1,0
1562,Redhead,,1959,Best Choreography,1,1
1563,Flower Drum Song,2002-10-17,1959,Best Choreography,1,0
1564,Goldilocks,,1959,Best Choreography,1,0
1565,Whoop-Up,,1959,Best Choreography,1,0
69,Redhead,,1959,Best Musical,1,1
70,Flower Drum Song,2002-10-17,1959,Best Musical,1,0
71,La Plume de Ma Tante,,1959,Best Musical,1,0
358,J.B. †,,1959,Best Play,1,1
359,Disenchanted!,2014-12-04,1959,Best Play,1,0
360,Epitaph for George Dillon,,1959,Best Play,1,0
361,A Touch of the Poet,2005-12-08,1959,Best Play,1,0
362,The Visit,,1959,Best Play,1,0
1566,Destry Rides Again,,1960,Best Choreography,1,1
1567,Fiorello!,,1960,Best Choreography,1,0
1568,Greenwillow,,1960,Best Choreography,1,0
1569,Happy Town,,1960,Best Choreography,1,0
1570,Take Me Along,,1960,Best Choreography,1,0
