show_id,show_name,tony_win,tony_category,tony_year
1,A BEHANDING IN SPOKANE,0,,
2,A FREE MAN OF COLOR,0,,
3,A LIFE IN THE THEATRE,0,,
4,A LITTLE NIGHT MUSIC,0,,
5,A VIEW FROM THE BRIDGE,1,Best Revival of a Play,2016
6,ALL ABOUT ME,0,,
7,AMERICAN IDIOT,0,,
8,BLOODY BLOODY ANDREW JACKSON,0,,
9,BRIEF ENCOUNTER,0,,
10,BURN THE FLOOR,0,,
11,BYE BYE BIRDIE,0,,
12,CHICAGO,0,,
13,COLLECTED STORIES,0,,
14,COME FLY AWAY,0,,
15,DRIVING MISS DAISY,0,,
16,ELF,0,,
17,ELLING,0,,
18,ENRON,0,,
19,EVERYDAY RAPTURE,0,,
20,FELA!,0,,
21,FENCES,1,Best Revival of a Play,2010
22,FINIAN'S RAINBOW,0,,
23,GOD OF CARNAGE,0,,
24,HAIR,0,,
25,IN THE HEIGHTS,0,,
26,IRVING BERLIN'S WHITE CHRISTMAS,0,,
27,JERSEY BOYS,0,,
28,LA BETE,0,,
29,LEND ME A TENOR,0,,
30,LOMBARDI,0,,
31,LOOPED,0,,
32,MAMMA MIA!,0,,
33,MARY POPPINS,0,,
34,MILLION DOLLAR QUARTET,0,,
35,MRS. WARREN'S PROFESSION,0,,
36,NEXT FALL,0,,
37,NEXT TO NORMAL,0,,
38,PRESENT LAUGHTER,0,,
39,RACE,0,,
40,RAGTIME,0,,
41,RED,1,Best Play,2010
42,ROCK OF AGES,0,,
43,SHREK THE MUSICAL,0,,
44,SONDHEIM ON SONDHEIM,0,,
45,SOUTH PACIFIC,0,,
46,SPIDER-MAN TURN OFF THE DARK,0,,
47,SUPERIOR DONUTS,0,,
48,THE 39 STEPS,0,,
49,THE ADDAMS FAMILY,0,,
50,THE IMPORTANCE OF BEING EARNEST,0,,
51,THE LION KING,0,,
52,THE MERCHANT OF VENICE,0,,
53,THE MIRACLE WORKER,0,,
54,THE PEE-WEE HERMAN SHOW,0,,
55,THE PHANTOM OF THE OPERA,0,,
56,THE PITMEN PAINTERS,0,,
57,THE SCOTTSBORO BOYS,0,,
58,TIME STANDS STILL,0,,
59,WICKED,0,,
60,WISHFUL DRINKING,0,,
61,WOMEN ON THE VERGE OF A NERVOUS BREAKDOWN,0,,
62,AN EVENING WITH PATTI LUPONE AND MANDY PATINKIN,0,,
63,ANYTHING GOES,1,Best Revival of a Musical,2011
64,ARCADIA,0,,
65,BABY IT'S YOU!,0,,
66,BORN YESTERDAY,0,,
67,CATCH ME IF YOU CAN,0,,
68,CHINGLISH,0,,
69,FOLLIES,0,,
70,GHETTO KLOWN,0,,
71,GODSPELL,0,,
72,GOOD PEOPLE,0,,
73,HIGH,0,,
74,HOW TO SUCCEED IN BUSINESS WITHOUT REALLY TRYING,0,,
75,JERUSALEM,0,,
76,KATHY GRIFFIN WANTS A TONY,0,,
77,LYSISTRATA JONES,0,,
78,MAN AND BOY,0,,
79,MASTER CLASS,0,,
80,ON A CLEAR DAY YOU CAN SEE FOREVER,0,,
81,OTHER DESERT CITIES,0,,
82,PORGY AND BESS,1,Best Revival of a Musical,2012
83,RELATIVELY SPEAKING,0,,
84,SEMINAR,0,,
85,SISTER ACT,0,,
86,STICK FLY,0,,
87,THAT CHAMPIONSHIP SEASON,0,,
88,THE BOOK OF MORMON,1,Best Musical,2011
89,THE HOUSE OF BLUE LEAVES,0,,
90,THE MOTHERF**KER WITH THE HAT,0,,
91,THE MOUNTAINTOP,0,,
92,THE NORMAL HEART,1,Best Revival of a Play,2011
93,THE PEOPLE IN THE PICTURE,0,,
94,THE ROAD TO MECCA,0,,
95,VENUS IN FUR,0,,
96,WAR HORSE,1,Best Play,2011
97,WONDERLAND,0,,
98,A STREETCAR NAMED DESIRE,0,,
99,AN ENEMY OF THE PEOPLE,0,,
100,ANNIE,0,,
101,CAT ON A HOT TIN ROOF,0,,
102,CHAPLIN,0,,
103,CLYBOURNE PARK,1,Best Play,2012
104,CYRANO DE BERGERAC,0,,
105,DEAD ACCOUNTS,0,,
106,DEATH OF A SALESMAN,1,Best Revival of a Play,2012
107,DON'T DRESS FOR DINNER,0,,
108,END OF THE RAINBOW,0,,
109,EVITA,0,,
110,FRANKIE VALLI AND THE FOUR SEASONS ON BROADWAY,0,,
111,GLENGARRY GLEN ROSS,0,,
112,GOLDEN BOY,0,,
113,GORE VIDAL'S THE BEST MAN,0,,
114,GRACE,0,,
115,HARVEY,0,,
116,JESUS CHRIST SUPERSTAR,0,,
117,LEAP OF FAITH,0,,
118,MAGIC/BIRD,0,,
119,NEWSIES,0,,
120,NICE WORK IF YOU CAN GET IT,0,,
121,ONCE,1,Best Musical,2012
122,"ONE MAN, TWO GUVNORS",0,,
123,PETER AND THE STARCATCHER,0,,
124,PICNIC,0,,
125,PRIVATE LIVES,0,,
126,SCANDALOUS,0,,
127,SHATNER'S WORLD: WE JUST LIVE IN IT,0,,
128,THE ANARCHIST,0,,
129,THE COLUMNIST,0,,
130,THE HEIRESS,0,,
131,THE LYONS,0,,
132,THE MYSTERY OF EDWIN DROOD,0,,
133,THE OTHER PLACE,0,,
134,THE PERFORMERS,0,,
135,WHO'S AFRAID OF VIRGINIA WOOLF?,1,Best Revival of a Play,2013
136,WIT,0,,
137,700 SUNDAYS,0,,
138,A GENTLEMAN'S GUIDE TO LOVE AND MURDER,1,Best Musical,2014
139,A NIGHT WITH JANIS JOPLIN,0,,
140,A TIME TO KILL,0,,
141,AFTER MIDNIGHT,0,,
142,ANN,0,,
143,BETRAYAL,0,,
144,BIG FISH,0,,
145,BREAKFAST AT TIFFANY'S,0,,
146,CINDERELLA,0,,
147,FIRST DATE,0,,
148,FOREVER TANGO,0,,
149,HANDS ON A HARDBODY,0,,
150,I'LL EAT YOU LAST: A CHAT WITH SUE MENGERS,0,,
151,JEKYLL & HYDE,0,,
152,KINKY BOOTS,1,Best Musical,2013
153,LET IT BE,0,,
154,LUCKY GUY,0,,
155,MACBETH,0,,
156,MACHINAL,0,,
157,MANILOW ON BROADWAY,0,,
158,MOTOWN THE MUSICAL,0,,
159,ORPHANS,0,,
160,PIPPIN,1,Best Revival of a Musical,2013
161,ROMEO AND JULIET,0,,
162,SOUL DOCTOR,0,,
163,THE ASSEMBLED PARTIES,0,,
164,THE BIG KNIFE,0,,
165,THE GLASS MENAGERIE,0,,
166,THE NANCE,0,,
167,THE RASCALS: ONCE UPON A DREAM,0,,
168,THE SNOW GEESE,0,,
169,THE TESTAMENT OF MARY,0,,
170,THE TRIP TO BOUNTIFUL,0,,
171,THE WINSLOW BOY,0,,
172,VANYA AND SONIA AND MASHA AND SPIKE,1,Best Play,2013
173,A DELICATE BALANCE,0,,
174,A RAISIN IN THE SUN,1,Best Revival of a Play,2014
175,ACT ONE,0,,
176,ALADDIN,0,,
177,ALL THE WAY,1,Best Play,2014
178,BRONX BOMBERS,0,,
179,BULLETS OVER BROADWAY,0,,
180,CABARET,0,,
181,CASA VALENTINA,0,,
182,CONSTELLATIONS,0,,
183,DISGRACED,0,,
184,HEDWIG AND THE ANGRY INCH,1,Best Revival of a Musical,2014
185,HOLLER IF YA HEAR ME,0,,
186,HONEYMOON IN VEGAS,0,,
187,IF/THEN,0,,
188,IT'S ONLY A PLAY,0,,
189,LES MISÉRABLES,0,,
190,LOVE LETTERS,0,,
191,MOTHERS AND SONS,0,,
192,OF MICE AND MEN,0,,
193,ON THE TOWN,0,,
194,OUTSIDE MULLINGAR,0,,
195,ROCKY,0,,
196,SIDE SHOW,0,,
197,THE BRIDGES OF MADISON COUNTY,0,,
198,THE COUNTRY HOUSE,0,,
199,THE CRIPPLE OF INISHMAAN,0,,
200,THE CURIOUS INCIDENT OF THE DOG IN THE NIGHT-TIME,1,Best Play,2015
201,THE ELEPHANT MAN,0,,
202,THE LAST SHIP,0,,
203,THE REAL THING,0,,
204,THE REALISTIC JONESES,0,,
205,THE RIVER,0,,
206,THE VELOCITY OF AUTUMN,0,,
207,THIS IS OUR YOUTH,0,,
208,VIOLET,0,,
209,YOU CAN'T TAKE IT WITH YOU,0,,
210,AIRLINE HIGHWAY,0,,
211,ALLEGIANCE,0,,
212,AMAZING GRACE,0,,
213,AN ACT OF GOD,0,,
214,AN AMERICAN IN PARIS,0,,
215,CHINA DOLL,0,,
216,DAMES AT SEA,0,,
217,DOCTOR ZHIVAGO,0,,
218,FIDDLER ON THE ROOF,0,,
219,FINDING NEVERLAND,0,,
220,FISH IN THE DARK,0,,
221,FOOL FOR LOVE,0,,
222,FUN HOME,1,Best Musical,2015
223,GIGI,0,,
224,HAMILTON,1,Best Musical,2016
225,HAND TO GOD,0,,
226,IT SHOULDA BEEN YOU,0,,
227,KING CHARLES III,0,,
228,LIVING ON LOVE,0,,
229,LORD OF THE DANCE: DANGEROUS GAMES,0,,
230,MISERY,0,,
231,NOISES OFF,0,,
232,OLD TIMES,0,,
233,ON THE TWENTIETH CENTURY,0,,
234,PENN & TELLER ON BROADWAY,0,,
235,SCHOOL OF ROCK,0,,
236,SKYLIGHT,1,Best Revival of a Play,2015
237,SOMETHING ROTTEN!,0,,
238,SPRING AWAKENING,0,,
239,SYLVIA,0,,
240,THE AUDIENCE,0,,
241,THE COLOR PURPLE,1,Best Revival of a Musical,2016
242,THE GIN GAME,0,,
243,THE HEIDI CHRONICLES,0,,
244,THE KING AND I,1,Best Revival of a Musical,2015
245,THE VISIT,0,,
246,THÉRÈSE RAQUIN,0,,
247,ALTON BROWN LIVE: EAT YOUR SCIENCE,0,,
