review_id,show_title,opening_date,publication,critic,sentiment,review_date,is_opening_window,days_from_opening,is_nyt_critics_pick,excerpt,source
5703,Ethel Sings,0201-06-06,NEW YORK TIMES,Alexis Soloski,meh,2014-06-10,0,662189,,"In Ethel Sings: The Unsung Song of Ethel Rosenberg , the playwright Joan Beber issues a posthumous pardon to Ethel Rosenberg, executed for conspiring to commit espionage in 1953. Debate remains about Rosenberg’s complicity in spying by her husband, Julius. But the play never really examines any of the contradictions of the testimony, nor does it consider the implications of aiding the Russians at the dawn of the Cold War. Instead, Ms. Beber, a cousin of the Rosenbergs, depicts Ethel (Tracy Micha",dtli
5700,Ethel Sings,0201-06-06,New York Theatre Guide,Elise Marenson,down,2014-06-08,0,662187,,"America is adept at whipping itself into frenzy over the “great unknown”. With a penchant for jingoism and a simple minded view of all “isms”, we should use what happened to Julius and Ethel Rosenberg as a lesson on mass hysteria. All reason, as well as our self-professed piety and sense of justice, go out the window when “they are gonna get us”. We’ve been through it since Salem, southern lynching, Sacco and Vanzetti. In the Rosenbergs’ time, the Boogie Men were the Commies among us. Today our ",dtli
5702,Ethel Sings,0201-06-06,THEATERMANIA,Zachary Stewart,meh,2014-06-06,0,662185,,"It’s usually not the best sign when the director’s note is more enlightening about a subject than the actual play it accompanies. Such is the case with Joan Beber’s Ethel Sings, The Unsung Song of Ethel Rosenberg , which is making its off-Broadway premiere at Theatre Row’s Beckett Theatre after running last summer at Walkerspace. Redundancies in the singsong title aside, the story of Ethel Rosenberg, the only woman to be executed for espionage during the Cold War (at, erm, Sing Sing prison), is ",dtli
5701,Ethel Sings,0201-06-06,Theater Pizzazz,Linda Amiel Burns,meh,2014-06-07,0,662186,,"For those growing up in the 1950’s, the case of Ethel and Julius Rosenberg, who were tried and convicted of espionage, was shocking and controversial. Both were sent to the electric chair on June 19, 1953 a day after their 14th wedding anniversary. Joan Beber’s ernest, yet uneven, play examines their lives, mostly through telling Ethel’s story. Will Pomerantz, the director, asks the question in his notes, “why Ethel Rosenberg and why now?” In going over the script, he was struck by how current t",dtli
7524,Benito Cereno,0201-09-25,NEW YORK TIMES,Ken Jaworowski,down,2011-10-04,0,661098,,"“Benito Cereno” has so much to say. Based on a novella by Herman Melville, the play, by the poet Robert Lowell, is keen to rail against oppression and condemn political hypocrisy. It’s a pity, then, that the stagey production by the Horizon Theater Rep sometimes muffles the script’s voice.",dtli
1841,Merrily We Roll Along,1970-01-01,AM NEW YORK,Matt Windman,up,2023-10-10,0,19640,,"The production, which has received a few significant visual and musical upgrades since its Off-Broadway debut, is probably the most convincing, coherent, and compelling rendition of “Merrily” to date, making it the best candidate for its Broadway return. For the show’s many devoted fans (of which I am certainly one), this production is not just a triumph but a homecoming and a vindication.",dtli
2349,1776,1970-01-01,AM NEW YORK,Matt Windman,meh,2022-10-06,0,19271,,"I admire the considerable thought and enterprise that went into creating this production, while still finding to be overwhelmingly problematic and frustrating, especially in the over-the-top manner that many songs have been reconceived. It is full of provocative images and questionable choices that are worthy of extended analysis and debate.",dtli
9322,Speed the Plow,1970-01-01,AM NEW YORK,,up,2014-04-22,0,16182,,We arrived at the Barrymore Theatre surprised to find the HBO television series “Entourage” on Broadway. How else would you explain the sight of Jeremy Piven pouring over piles of movie scripts and eagerly spitting out foul language?,dtli
9774,accent on youth broadway,1970-01-01,AM NEW YORK,,meh,2014-04-22,0,16182,,"What’s it like attending “Accent on Youth”? Well, the posh Manhattan apartment set design and Depression-era costumes are pretty. The cast is pretty charming. Some witty dialogue occasionally pops up. But it’s hard to not feel underwhelmed and bored by the Manhattan Theater Club’s well-meant but unnecessary and uninspired revival of what feels like a third-rate Noel Coward play.",dtli
9791,dividing the estate,1970-01-01,AM NEW YORK,,up,2014-04-22,0,16182,,"No one would suspect 92-year-old Horton Foote, a gentle playwright whose 60 tenderhearted plays include “A Young Man from Atlanta” and “The Trip to Bountiful,” of writing a vigorous piece of political theater.",dtli
9797,guys and dolls,1970-01-01,AM NEW YORK,,down,2014-04-22,0,16182,,"You know that a production of “Guys and Dolls” has gone terribly wrong when a minor character like General Cartwright makes a bigger impression than Sky Masterson, Sarah Brown, Nathan Detroit and Miss Adelaide put together. And if anyone is to blame, it is director Des McAnuff (“Jersey Boys”), whose new Broadway revival is a misconceived fiasco.",dtli
9802,desire under the elms broadway,1970-01-01,AM NEW YORK,,meh,2014-04-22,0,16182,,"At present, there is no Tony Award for Best Suggestive Sex Scene in a Play. But if there were, this year’s award would surely go to selections from Robert Falls’ powerful but problematic revival of Eugene O’Neill’s hot and steamy melodrama “Desire Under the Elms” starring Brian Dennehy, Carla Gugino, and Pablo Schreiber.",dtli
9903,pal joey,1970-01-01,AM NEW YORK,,down,2014-04-22,0,16182,,"For the past month, Broadway has experienced much craziness with the Roundabout’s ill-fated revisal of the 1940 landmark Rodgers & Hart musical “Pal Joey,” one of the first truly dark, sexualized musicals with an antihero at its center.",dtli
