show_title,opening_date,show_type,is_revival,week_ending,week_number,is_preview,gross,gross_diff_pct,capacity_pct,attendance,avg_ticket,top_ticket,performances,theater
& Juliet,2022-11-17,,0,2022-10-30,-3,1,316211.0,,0.9889,2045,154.63,297.0,2.0,Stephen Sondheim
& Juliet,2022-11-17,,0,2022-11-06,-2,1,779402.2,1.464816846978758,0.9790000000000001,7086,109.99,297.0,7.0,Stephen Sondheim
& Juliet,2022-11-17,,0,2022-11-13,-1,1,916640.8,0.1760818740311486,0.9790000000000001,8098,113.19,297.0,8.0,Stephen Sondheim
& Juliet,2022-11-17,,0,2022-11-20,0,0,913033.6,-0.003935238317997703,0.9836,8136,112.22,297.0,8.0,Stephen Sondheim
& Juliet,2022-11-17,,0,2022-11-27,1,0,1145571.3,0.2546869030887802,0.9883,8112,141.22,347.0,8.0,Stephen Sondheim
& Juliet,2022-11-17,,0,2022-12-04,2,0,1029030.7,-0.1017314243120442,0.8922,7323,140.52,323.0,8.0,Stephen Sondheim
& Juliet,2022-11-17,,0,2022-12-11,3,0,1152409.0,0.1198975890612399,0.951,7806,147.63,323.0,8.0,Stephen Sondheim
& Juliet,2022-11-17,,0,2022-12-18,4,0,1071157.2,-0.07050604429503765,0.9167000000000001,7524,142.37,323.0,8.0,Stephen Sondheim
& Juliet,2022-11-17,,0,2022-12-25,5,0,927232.6,-0.1343636582940394,0.9645,6927,133.86,323.0,7.0,Stephen Sondheim
& Juliet,2022-11-17,,0,2023-01-01,6,0,1639788.2,0.7684755691290406,1.0016,9249,177.29,347.0,9.0,Stephen Sondheim
& Juliet,2022-11-17,,0,2023-01-08,7,0,1123455.3,-0.31487779946215,0.9931,8151,137.83,323.0,8.0,Stephen Sondheim
& Juliet,2022-11-17,,0,2023-01-15,8,0,1170298.9,0.04169600695283547,0.9719,7977,146.71,323.0,8.0,Stephen Sondheim
& Juliet,2022-11-17,,0,2023-01-22,9,0,1039379.3,-0.1118685149580162,0.973,7986,130.15,323.0,8.0,Stephen Sondheim
& Juliet,2022-11-17,,0,2023-01-29,10,0,1041810.7,0.0023392807611234,0.9814,8055,129.34,323.0,8.0,Stephen Sondheim
& Juliet,2022-11-17,,0,2023-02-05,11,0,1019677.8,-0.02124464646024456,0.9815,8056,126.57,323.0,8.0,Stephen Sondheim
& Juliet,2022-11-17,,0,2023-02-12,12,0,1034928.9,0.01495678340746457,0.9876,8106,127.67,323.0,8.0,Stephen Sondheim
& Juliet,2022-11-17,,0,2023-02-19,13,0,1252393.5,0.2101251593225389,0.9829000000000001,8068,155.23,323.0,8.0,Stephen Sondheim
& Juliet,2022-11-17,,0,2023-02-26,14,0,1229540.0,-0.01824785899958759,1.0058,8256,148.93,323.0,8.0,Stephen Sondheim
& Juliet,2022-11-17,,0,2023-03-05,15,0,1015317.3,-0.1742299559184735,0.9276000000000001,7614,133.35,323.0,8.0,Stephen Sondheim
& Juliet,2022-11-17,,0,2023-03-12,16,0,1095904.0,0.07937095132723529,0.9459000000000001,7764,141.15,323.0,8.0,Stephen Sondheim
& Juliet,2022-11-17,,0,2023-03-19,17,0,1274280.4,0.1627664466960609,1.0039,8240,154.65,323.0,8.0,Stephen Sondheim
& Juliet,2022-11-17,,0,2023-03-26,18,0,1162400.9,-0.08779818005519037,0.9588,7870,147.7,323.0,8.0,Stephen Sondheim
& Juliet,2022-11-17,,0,2023-04-02,19,0,1178967.8,0.0142523117454573,0.9573999999999999,7858,150.03,323.0,8.0,Stephen Sondheim
& Juliet,2022-11-17,,0,2023-04-09,20,0,1302343.6,0.1046473024963023,1.0023,8227,158.3,323.0,8.0,Stephen Sondheim
& Juliet,2022-11-17,,0,2023-04-16,21,0,1297395.4,-0.003799458146068507,0.9994,8203,158.16,323.0,8.0,Stephen Sondheim
& Juliet,2022-11-17,,0,2023-04-23,22,0,1119666.4,-0.1369890782717435,0.9734,7990,140.13,323.0,8.0,Stephen Sondheim
& Juliet,2022-11-17,,0,2023-04-30,23,0,1030768.3,-0.07939695252085788,0.9549,7838,131.51,323.0,8.0,Stephen Sondheim
& Juliet,2022-11-17,,0,2023-05-07,24,0,1007243.8,-0.0228222967275963,0.9520000000000001,7814,128.9,323.0,8.0,Stephen Sondheim
& Juliet,2022-11-17,,0,2023-05-14,25,0,1066526.0,0.05885585992189771,0.946,7765,137.35,323.0,8.0,Stephen Sondheim
& Juliet,2022-11-17,,0,2023-05-21,26,0,1185633.9,0.1116783838368684,0.9790000000000001,8036,147.54,323.0,8.0,Stephen Sondheim
& Juliet,2022-11-17,,0,2023-05-28,27,0,1123714.6,-0.0522246369642432,0.9611,7889,142.44,323.0,8.0,Stephen Sondheim
& Juliet,2022-11-17,,0,2023-06-04,28,0,1131404.9,0.006843641615050488,0.9577,7861,143.93,323.0,8.0,Stephen Sondheim
& Juliet,2022-11-17,,0,2023-06-11,29,0,1134159.3,0.002434495378268328,0.9884000000000001,8113,139.8,323.0,8.0,Stephen Sondheim
& Juliet,2022-11-17,,0,2023-06-18,30,0,1339853.6,0.1813627944504798,0.9968,8182,163.76,347.0,8.0,Stephen Sondheim
& Juliet,2022-11-17,,0,2023-06-25,31,0,1401918.7,0.04632229969005558,0.9952,8169,171.61,347.0,8.0,Stephen Sondheim
& Juliet,2022-11-17,,0,2023-07-02,32,0,1181687.0,-0.157093061102616,0.9932,8152,144.96,348.0,8.0,Stephen Sondheim
& Juliet,2022-11-17,,0,2023-07-09,33,0,1132989.4,-0.0412102358746437,0.9851000000000001,8086,140.12,348.0,8.0,Stephen Sondheim
& Juliet,2022-11-17,,0,2023-07-16,34,0,1198611.4,0.0579193415225244,0.9876999999999999,8107,147.85,348.0,8.0,Stephen Sondheim
& Juliet,2022-11-17,,0,2023-07-23,35,0,1248607.0,0.04171126688766692,0.9875,8105,154.05,348.0,8.0,Stephen Sondheim
& Juliet,2022-11-17,,0,2023-07-30,36,0,1206929.2,-0.03337943804575823,0.9954000000000001,8170,147.73,348.0,8.0,Stephen Sondheim
& Juliet,2022-11-17,,0,2023-08-06,37,0,1192913.2,-0.01161294299615918,0.9834,8072,147.78,348.0,8.0,Stephen Sondheim
& Juliet,2022-11-17,,0,2023-08-13,38,0,1144207.9,-0.04082887170667576,0.9666,7934,144.22,348.0,8.0,Stephen Sondheim
& Juliet,2022-11-17,,0,2023-08-20,39,0,1079230.8,-0.05678784423704807,0.97,7962,135.55,348.0,8.0,Stephen Sondheim
& Juliet,2022-11-17,,0,2023-08-27,40,0,1024901.6,-0.05034066855764315,0.9754,8006,128.02,323.0,8.0,Stephen Sondheim
