id,award,ceremony_year,air_date,network,host,viewers_m,measurement,confidence,source_key,notes
1,Tony,2001,2001-06-03,CBS,Rosie O'Donnell,8.3,linear,med,nytix,Pre-cord-cutting baseline.
2,Tony,2003,2003-06-08,CBS,Hugh Jackman,5.4,linear,low,nytix,Notably low year; figure varies by source.
3,Tony,2011,2011-06-12,CBS,Neil Patrick Harris,6.95,linear,med,nytix,"NPH era, generally strong reviews."
4,Tony,2012,2012-06-10,CBS,Neil Patrick Harris,6.01,linear,med,nytix,
5,Tony,2013,2013-06-09,CBS,Neil Patrick Harris,7.24,linear,med,nytix,NPH 'Bigger' opening number; local ratings peak.
6,Tony,2014,2014-06-08,CBS,Hugh Jackman,7.0,linear,med,nytix,
7,Tony,2015,2015-06-07,CBS,Kristin Chenoweth/A.Cumming,6.35,linear,med,nytix,
8,Tony,2016,2016-06-12,CBS,James Corden,8.7,linear,high,statista,Hamilton year — positive cultural shock; highest since 2001.
9,Tony,2017,2017-06-11,CBS,Kevin Spacey,6.0,linear,med,nytix,
10,Tony,2018,2018-06-10,CBS,Sara Bareilles/J.Groban,6.3,linear,med,nytix,
11,Tony,2019,2019-06-09,CBS,James Corden,5.4,linear,high,statista,Last pre-pandemic ceremony.
12,Tony,2021,2021-09-26,CBS,Leslie Odom Jr.,2.62,linear,high,deadline,"74th, delayed to Sept 2021. CBS broadcast hour only; the 2hr Paramount+ concert preceded it. All-time-low context."
13,Tony,2022,2022-06-12,CBS,Ariana DeBose,3.86,linear,high,variety,First live coast-to-coast telecast; time-zone-adjusted L+SD.
14,Tony,2023,2023-06-11,CBS,Ariana DeBose,4.3,linear,med,variety,Variety final 4.3M ('most-watched since 2019'); TheWrap reported 4.12M L+SD — conflict noted.
15,Tony,2024,2024-06-16,CBS,Ariana DeBose,3.51,linear,high,thewrap,Down 14% YoY; lowest non-pandemic linear number on record. (Deadline rounds to 3.53M.)
