year,us_tv_households_m,pay_tv_penetration_pct,source_key,notes
2001,102.0,86.0,approx,Approximate; pre-cord-cutting peak era.
2010,114.9,88.0,approx,Pay-TV penetration peak (~88%).
2011,114.7,87.0,approx,
2012,114.2,86.0,approx,
2013,115.6,85.0,approx,
2014,115.6,84.0,approx,
2015,116.3,82.0,approx,
2016,118.4,81.0,approx,
2017,118.6,78.0,approx,
2018,119.6,75.0,approx,
2019,120.6,72.0,approx,
2020,121.0,69.0,approx,Pandemic.
2021,121.0,67.0,approx,
2022,122.4,65.0,approx,
2023,123.8,64.0,approx,Pay-TV penetration ~64% per Statista.
2024,125.0,60.0,approx,
2025,125.8,57.0,approx,Approximate.
